id,kode_provinsi,nama_provinsi,komoditi,jumlah_produksi,satuan,tahun
1,32,JAWA BARAT,ALPUKAT,1040844,KUINTAL,2019
2,32,JAWA BARAT,ANGGUR,12,KUINTAL,2019
3,32,JAWA BARAT,APEL,0,KUINTAL,2019
4,32,JAWA BARAT,BELIMBING,87558,KUINTAL,2019
5,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,97146,KUINTAL,2019
6,32,JAWA BARAT,DURIAN,941829,KUINTAL,2019
7,32,JAWA BARAT,JAMBU AIR,179335,KUINTAL,2019
8,32,JAWA BARAT,JAMBU BIJI,508873,KUINTAL,2019
9,32,JAWA BARAT,JENGKOL,161103,KUINTAL,2019
10,32,JAWA BARAT,JERUK BESAR,55353,KUINTAL,2019
11,32,JAWA BARAT,JERUK SIAM/KEPROK,385159,KUINTAL,2019
12,32,JAWA BARAT,MANGGA,4185217,KUINTAL,2019
13,32,JAWA BARAT,MANGGIS,749747,KUINTAL,2019
14,32,JAWA BARAT,MARKISA/KONYAL,1270,KUINTAL,2019
15,32,JAWA BARAT,MELINJO,274179,KUINTAL,2019
16,32,JAWA BARAT,NANGKA/CEMPEDAK,796972,KUINTAL,2019
17,32,JAWA BARAT,NENAS,2286005,KUINTAL,2019
18,32,JAWA BARAT,PEPAYA,977270,KUINTAL,2019
19,32,JAWA BARAT,PETAI,680597,KUINTAL,2019
20,32,JAWA BARAT,PISANG,12201741,KUINTAL,2019
21,32,JAWA BARAT,RAMBUTAN,1455812,KUINTAL,2019
22,32,JAWA BARAT,SALAK,152849,KUINTAL,2019
23,32,JAWA BARAT,SAWO,248780,KUINTAL,2019
24,32,JAWA BARAT,SIRSAK,108239,KUINTAL,2019
25,32,JAWA BARAT,SUKUN,218526,KUINTAL,2019
26,32,JAWA BARAT,ALPUKAT,1046645,KUINTAL,2020
27,32,JAWA BARAT,ANGGUR,16,KUINTAL,2020
28,32,JAWA BARAT,APEL,0,KUINTAL,2020
29,32,JAWA BARAT,BELIMBING,70250,KUINTAL,2020
30,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,69464,KUINTAL,2020
31,32,JAWA BARAT,DURIAN,730174,KUINTAL,2020
32,32,JAWA BARAT,JAMBU AIR,209964,KUINTAL,2020
33,32,JAWA BARAT,JAMBU BIJI,794345,KUINTAL,2020
34,32,JAWA BARAT,JENGKOL,158624,KUINTAL,2020
35,32,JAWA BARAT,JERUK BESAR,130417,KUINTAL,2020
36,32,JAWA BARAT,JERUK SIAM/KEPROK,471369,KUINTAL,2020
37,32,JAWA BARAT,MANGGA,4425868,KUINTAL,2020
38,32,JAWA BARAT,MANGGIS,902694,KUINTAL,2020
39,32,JAWA BARAT,MARKISA/KONYAL,9698,KUINTAL,2020
40,32,JAWA BARAT,MELINJO,395178,KUINTAL,2020
41,32,JAWA BARAT,NANGKA/CEMPEDAK,752573,KUINTAL,2020
42,32,JAWA BARAT,NENAS,2509423,KUINTAL,2020
43,32,JAWA BARAT,PEPAYA,990876,KUINTAL,2020
44,32,JAWA BARAT,PETAI,674820,KUINTAL,2020
45,32,JAWA BARAT,PISANG,12635041,KUINTAL,2020
46,32,JAWA BARAT,RAMBUTAN,1271442,KUINTAL,2020
47,32,JAWA BARAT,SALAK,316931,KUINTAL,2020
48,32,JAWA BARAT,SAWO,382504,KUINTAL,2020
49,32,JAWA BARAT,SIRSAK,111883,KUINTAL,2020
50,32,JAWA BARAT,SUKUN,242511,KUINTAL,2020
51,32,JAWA BARAT,ALPUKAT,1100462,KUINTAL,2021
52,32,JAWA BARAT,ANGGUR,610,KUINTAL,2021
53,32,JAWA BARAT,APEL,0,KUINTAL,2021
54,32,JAWA BARAT,BELIMBING,87685,KUINTAL,2021
55,32,JAWA BARAT,BUAH NAGA,23757,KUINTAL,2021
56,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,90915,KUINTAL,2021
57,32,JAWA BARAT,DURIAN,867848,KUINTAL,2021
58,32,JAWA BARAT,JAMBU AIR,235850,KUINTAL,2021
59,32,JAWA BARAT,JAMBU BIJI,692488,KUINTAL,2021
60,32,JAWA BARAT,JENGKOL,183363,KUINTAL,2021
61,32,JAWA BARAT,JERUK LEMON,88247,KUINTAL,2021
62,32,JAWA BARAT,JERUK PAMELO,48292,KUINTAL,2021
63,32,JAWA BARAT,JERUK BESAR,0,KUINTAL,2021
64,32,JAWA BARAT,JERUK SIAM/KEPROK,515541,KUINTAL,2021
65,32,JAWA BARAT,LENGKENG,10562,KUINTAL,2021
66,32,JAWA BARAT,MANGGA,4440726,KUINTAL,2021
67,32,JAWA BARAT,MANGGIS,321599,KUINTAL,2021
68,32,JAWA BARAT,MARKISA/KONYAL,0,KUINTAL,2021
69,32,JAWA BARAT,MELINJO,588939,KUINTAL,2021
70,32,JAWA BARAT,NANGKA/CEMPEDAK,793224,KUINTAL,2021
71,32,JAWA BARAT,NENAS,2761952,KUINTAL,2021
72,32,JAWA BARAT,PEPAYA,1244665,KUINTAL,2021
73,32,JAWA BARAT,PETAI,812381,KUINTAL,2021
74,32,JAWA BARAT,PISANG,16492285,KUINTAL,2021
75,32,JAWA BARAT,RAMBUTAN,1710691,KUINTAL,2021
76,32,JAWA BARAT,SALAK,207044,KUINTAL,2021
77,32,JAWA BARAT,SAWO,186434,KUINTAL,2021
78,32,JAWA BARAT,SIRSAK,146196,KUINTAL,2021
79,32,JAWA BARAT,SUKUN,280760,KUINTAL,2021
80,32,JAWA BARAT,ALPUKAT,843017,KUINTAL,2022
81,32,JAWA BARAT,ANGGUR,2464,KUINTAL,2022
82,32,JAWA BARAT,APEL,0,KUINTAL,2022
83,32,JAWA BARAT,BELIMBING,102197,KUINTAL,2022
84,32,JAWA BARAT,BUAH NAGA,58650,KUINTAL,2022
85,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,94902,KUINTAL,2022
86,32,JAWA BARAT,DURIAN,886814,KUINTAL,2022
87,32,JAWA BARAT,JAMBU AIR,316545,KUINTAL,2022
88,32,JAWA BARAT,JAMBU BIJI,775469,KUINTAL,2022
89,32,JAWA BARAT,JENGKOL,210001,KUINTAL,2022
90,32,JAWA BARAT,JERUK LEMON,164891,KUINTAL,2022
91,32,JAWA BARAT,JERUK PAMELO,49790,KUINTAL,2022
92,32,JAWA BARAT,JERUK BESAR,0,KUINTAL,2022
93,32,JAWA BARAT,JERUK SIAM/KEPROK,674978,KUINTAL,2022
94,32,JAWA BARAT,LENGKENG,21224,KUINTAL,2022
95,32,JAWA BARAT,MANGGA,3379702,KUINTAL,2022
96,32,JAWA BARAT,MANGGIS,522355,KUINTAL,2022
97,32,JAWA BARAT,MARKISA/KONYAL,702831,KUINTAL,2022
98,32,JAWA BARAT,MELINJO,0,KUINTAL,2022
99,32,JAWA BARAT,NANGKA/CEMPEDAK,804771,KUINTAL,2022
100,32,JAWA BARAT,NENAS,28601918,KUINTAL,2022
101,32,JAWA BARAT,PEPAYA,1417370,KUINTAL,2022
102,32,JAWA BARAT,PETAI,1045006,KUINTAL,2022
103,32,JAWA BARAT,PISANG,21473290,KUINTAL,2022
104,32,JAWA BARAT,RAMBUTAN,1639765,KUINTAL,2022
